country,region,homicide_rate,idv,uai,pdi,mas,wvs_obedience,wvs_independence,wvs_hard_work,wvs_trust,gini,gdp_per_capita,unemployment,urbanization,log_homicide,log_gdp,collectivism
Argentina,Latin America,4.64,46,86,49,56,44,50,58,18,42.9,9938,11.0,92.0,1.7298840655099674,9.204121072162266,54
Australia,Oceania,0.87,90,51,36,61,22,75,45,48,34.3,55060,5.1,86.4,0.6259384308664953,10.9161787786966,10
Brazil,Latin America,22.38,38,76,69,49,55,42,65,8,53.4,7507,13.2,87.1,3.1518809560439225,8.923591197573002,62
Canada,North America,1.95,80,48,39,52,24,72,48,44,33.3,52051,7.5,81.7,1.0818051703517284,10.85997928615443,20
Chile,Latin America,4.35,23,86,63,28,45,50,60,15,44.9,15921,9.1,88.0,1.6770965609079151,9.675394271496005,77
China,East Asia,0.53,20,30,80,66,52,44,79,63,38.5,12556,5.1,62.5,0.4252677354043441,9.437953917961844,80
Colombia,Latin America,24.32,13,80,67,64,54,40,68,12,51.3,5882,13.7,81.6,3.2315945972759756,8.67965211911394,87
Denmark,Western Europe,0.98,74,23,18,16,15,85,32,73,28.8,68008,5.1,88.2,0.6830968447064438,11.127380624297194,26
Ecuador,Latin America,14.0,8,67,78,63,62,32,65,10,45.7,5937,5.0,64.4,2.70805020110221,8.688959234270676,92
Egypt,MENA,3.47,25,80,70,45,72,24,68,27,31.5,3699,7.3,42.8,1.4973884086254776,8.215817791832453,75
Ethiopia,Sub-Saharan Africa,7.56,20,55,70,55,72,22,70,20,35.0,925,3.1,22.2,2.1471001901536506,6.829793737512425,80
France,Western Europe,1.2,71,86,68,43,30,70,38,23,31.5,40964,7.9,81.7,0.7884573603642702,10.620448911195329,29
Germany,Western Europe,0.89,67,65,35,66,27,72,42,45,31.7,50801,3.1,77.5,0.636576829071551,10.835671318412196,33
Ghana,Sub-Saharan Africa,1.68,15,54,77,40,65,30,68,19,43.5,2362,4.3,58.0,0.9858167945227653,7.767263996757308,85
